id,name,price,brand,subBrand,km,fuel,transmission_name,city,year
5027,Mercedes-benz,18900,Mercedes-benz,Cla,214000,Diesel,Automatic,null,2020
6559,Bmw,14300,Bmw,3er,190000,Diesel,Automatic,Mitrovica,2014
6649,Vw,29300,Vw,Tiguan,20000,Diesel,Automatik,Prishtinë,2022
6581,XC60 D5 AWD Geartronic,25000,Volvo,Xc60,116000,Diesel,Automatik,Prizren,2018
6622,Mercedes-benz,7900,Mercedes-benz,M-klasse,390000,Diesel,Automatik,Ferizaj,2009
1759,118d Edition M Sport,13500,Bmw,1er Serie F21 3-Türen/portes MY 2015-,335000,Diesel,Automatic,,2017
6462,Audi,45550,Audi,A6,138000,Diesel,Automatic,Prishtinë,
6533,A6 50 TDI quattro tiptronic,39800,Audi,A6,168000,Diesel,Automatik,Prishtinë,2021
6525,X5 xDrive40d Sport-Aut.,29800,Bmw,X5,120000,Diesel,Automatik,Prishtinë,2017
6515,A6 50 TDI quattro tiptronic,46500,Audi,A6,140000,Diesel,Automatik,Prishtinë,2020
6504,A4 1.4 TFSI S tronic,19450,Audi,A4,168300,Petrol,Automatik,,2019
6496,C4 X PureTech 130 Stop&Start EAT8,15500,Citroen,C4 X,71026,Petrol,Automatik,,2023
6472,Audi,16200,Audi,A4,280000,Diesel,Automatik,"167, Dardania, Metallaci, Janjevë, Municipality of Lipljan, District of Prishtina, 14050, Kosovo",2020
6464,Peugeot,3000,Peugeot,407,395000,Diesel,Manuelles Getriebe,Peja,2005
6444,118d Aut.,15000,Bmw,1er,300,Diesel,Automatik,Prishtinë,2017
5023,Tiguan 2.0 TDI SCR 4Motion (BlueMotion Techn.) DSG,32000,Vw,Tiguan,135000,Diesel,Automatik,Prishtinë,2021
6411,Navara,12500,Nissan,Navara Bis 2015,165000,Diesel,Manuelles Getriebe,Gjilan,2008
6401,Megane Grandtour dCi 110 FAP,13490,Renault,Megane,86811,Diesel,Manuelles Getriebe,,2016
6388,S6 Avant TDI quattro tiptronic,44900,Audi,A6,158000,Diesel,Automatik,Prishtinë,2021
6376,GLE 400 d 4Matic 9G-TRONIC,59800,Mercedes-benz,Gle,148000,Diesel,Automatik,Prishtinë,2021
6363,S 350 d 9G-TRONIC,35900,Mercedes-benz,S-klasse,190000,Diesel,Automatik,Prishtinë,2018
6352,Ghibli,26900,Maserati,Ghibli,98000,Petrol,Automatik,Prishtinë,2017
6342,Ford,8900,Ford,Mondeo,223000,Diesel,Automatik,Fushe Kosove,2016
6331,A4 40 TDI S tronic,19800,Audi,A4,192000,Diesel,Automatik,Prishtinë,2020
6321,Tiguan 2.0 TDI SCR (BlueMotion Technology) DSG,23900,Vw,Tiguan,23900,Diesel,Automatik,,2019
6293,A4 2.0 TDI DPF,7199,Audi,A4,341000,Diesel,Manuelles Getriebe,Fushe Kosove,2008
6275,X3 xDrive30d Aut.,16800,Bmw,X3,167000,Diesel,Automatik,,2014
6266,Sharan 2.0 TDI DSG BlueMotion Technology,15100,Vw,Sharan,215190,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2013
6256,535d xDrive Sport-Aut.,27000,Bmw,5er,96618,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2013
6246,X2 xDrive25d Aut.,27000,Bmw,X2,111503,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2018
6236,Discovery Sport TD4 Aut.,16200,Land Rover,Discovery Sport,135080,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2016
6226,C 400 4Matic T 7G-TRONIC,21600,Mercedes-benz,C-klasse,168900,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2016
5789,Golf 2.0 TDI SCR,11500,Vw,Golf Vii,230000,Diesel,Manuelles Getriebe,Prishtinë,2015
6204,V 220 d kompakt 4Matic 9G-TRONIC,51000,Mercedes-benz,V-klasse 447,60400,Diesel,Automatik,,2021
6188,GLC-Coupe 220 d 4Matic 9G-TRONIC,37900,Mercedes-benz,Glc,122845,Diesel,Automatik,,2019
6173,TTS Coupe,24700,Audi,Audi Tt,137500,Petrol,Manuelles Getriebe,,2015
6158,i3 (60 Ah) Range Extender,10800,Bmw,I3,117099,Benzin/Elektro-PlugIn,Direktantrieb,"Riedmattstrasse 8, 8153 Rümlang",2015
6146,Tucson 1.6 Turbo 2WD,22300,Hyundai,Tucson,56000,Petrol,Manuelles Getriebe,,2018
6121,SQ5 TDI Sportback quattro tiptronic,39900,Audi,Q5,68058,Diesel,Automatik,,2021
5992,Bmw,15900,Bmw,3er,180500,Diesel,Automatik,Vushtrri,2016
5985,Talisman ENERGY dCi 130 EDC,12990,Renault,Talisman,173145,Diesel,Automatic,Prishtinë,2017
5973,Discovery Sport D150,15900,Land Rover,Discovery Sport,253926,Diesel,Automatik,Prishtinë,2017
5912,Bmw,40000,Bmw,4er,98000,Benzin,Automatik,Peja,2015
5859,Audi,29000,Audi,Q5,190000,Diesel,Automatik,Prishtinë,2017
5813,Audi,21500,Audi,A7,158000,Diesel,Automatik,,2016
5780,Toyota,13000,Toyota,Yaris,116000,Petrol,Automatic,Prishtinë,2017
5764,C3 Aircross PureTech 110 Stop & Start EAT6,14500,Citroen,C3 Aircross,86358,Petrol,Automatik,Prishtinë,2018
5730,Mercedes-benz,34999,Mercedes-benz,Cla,72124,Diesel,Automatik,Mitrovica,2020
5713,Mercedes-benz,22000,Mercedes-benz,M-klasse,251800,Diesel,Automatik,Gjakova,2012
5689,Vw,11900,Vw,Golf Vii,270000,Diesel,Manuelles Getriebe,,2014
5676,Golf 2.0 TDI SCR DSG,31500,Vw,Golf Viii,25736,Diesel,Automatik,Prishtinë,2024
5659,Jaguar,18000,Jaguar,Xf,180000,Benzin,Automatik,null,2017
5590,Audi,17400,Audi,A4,280000,Diesel,Automatik,Lipjan,2020
5623,320d Aut. xDrive,16900,Bmw,3er,151150,Diesel,Automatik,Prishtinë,2015
5611,XC90 D5 AWD Geartronic,43900,Volvo,Xc90,71850,Diesel,Automatik,Prishtinë,2022
5572,E 220 d 4Matic T 9G-TRONIC,24800,Mercedes-benz,E-klasse,175000,Diesel,Automatik,Prishtinë,2017
5530,Vw,9600,Vw,Passat,312000,Diesel,Automatik,,2014
5502,Captur TCe 140 EDC GPF,19990,Renault,Captur,3890,Petrol,Automatik,Prishtinë,2022
5488,Range Rover Evoque TD4 Aut.,18500,Land Rover,Range Rover Evoque,56150,Diesel,Automatik,,2017
5461,Bmw,23500,Bmw,X3,257000,Diesel,Automatik,Kacanik,2016
5423,313 CDI Sprinter 4x4 906.633 Aut.,13990,Mercedes-benz,Sprinter,334179,Diesel,Automatik,Prishtinë,2016
5406,Mercedes-benz,19000,Mercedes-benz,M-klasse,140000,Diesel,Automatic,,2013
5384,Vw,24000,Vw,Tiguan,185900,Diesel,Automatik,,2017
5369,Jeep,13500,Jeep,Cherokee,136000,Diesel,Manuelles Getriebe,Rom (Roma),2017
